name,kind,area,status,return_or_variable_type,parameters
felica_set_uid,Function,Other libraries and assets,not_bridged,_Bool,"FelicaData*, const uint8_t*, size_t"
felica_verify,Function,Other libraries and assets,not_bridged,_Bool,"FelicaData*, const FuriString*"
felica_write_directory_tree,Function,Other libraries and assets,not_bridged,void,"const FelicaSystem*, FuriString*"
file_browser_alloc,Function,Other libraries and assets,not_bridged,FileBrowser*,FuriString*
file_browser_configure,Function,Other libraries and assets,not_bridged,void,"FileBrowser*, const char*, const char*, _Bool, _Bool, const Icon*, _Bool"
file_browser_free,Function,Other libraries and assets,not_bridged,void,FileBrowser*
file_browser_get_view,Function,Other libraries and assets,not_bridged,View*,FileBrowser*
file_browser_set_callback,Function,Other libraries and assets,not_bridged,void,"FileBrowser*, FileBrowserCallback, void*"
file_browser_set_item_callback,Function,Other libraries and assets,not_bridged,void,"FileBrowser*, FileBrowserLoadItemCallback, void*"
file_browser_start,Function,Other libraries and assets,not_bridged,void,"FileBrowser*, FuriString*"
file_browser_stop,Function,Other libraries and assets,not_bridged,void,FileBrowser*
file_browser_worker_alloc,Function,Other libraries and assets,not_bridged,BrowserWorker*,"FuriString*, const char*, const char*, _Bool, _Bool"
file_browser_worker_folder_enter,Function,Other libraries and assets,not_bridged,void,"BrowserWorker*, FuriString*, int32_t"
file_browser_worker_folder_exit,Function,Other libraries and assets,not_bridged,void,BrowserWorker*
file_browser_worker_folder_refresh,Function,Other libraries and assets,not_bridged,void,"BrowserWorker*, int32_t"
file_browser_worker_free,Function,Other libraries and assets,not_bridged,void,BrowserWorker*
file_browser_worker_is_in_start_folder,Function,Other libraries and assets,not_bridged,_Bool,BrowserWorker*
